000.1;KETATAUSAHAAN DAN KERUMAHTANGGAAN
500.5.4.11;Analisis dan Informasi Pasar Dalam Negeri
500.5.4.12;Jaringan Distribusi dan Kemitraan Pemasaran Dalam Negeri
500.5.4.13;Promosi dan Kerja Sama Pemasaran Dalam Negeri
500.5.4.14;Sarana dan Prasarana Pemasaran Dalam Negeri
500.5.4.15;Kelembagaan Pemasaran Luar Negeri
500.5.4.16;Analisis dan Informasi Pemasaran Luar Negeri
500.5.4.17;Pengembangan Ekspor
500.5.4.18;Pengembangan Impor
500.5.4.19;Promosi dan Kerja Sama Pemasaran Luar Negeri
500.5.4.20;Pelayanan Usaha
500.5.4.21;Kemitraan Usaha
500.5.4.22;Ketenagakerjaan Pengolahan dan Pemasaran
500.5.4.23;Investasi dan Permodalan 
500.5.4.24;Informasi dan Promosi
500.5.5;Kelautan, Pesisir, dan Pulau-Pulau Kecil
500.5.5.1;Rencana Tata Ruang Laut Nasional dan Perairan Yurisdiksi
500.5.5.2;Rencana Tata Ruang dan Zona Wilayah I
500.5.5.3;Rencana Tata Ruang dan Zona Wilayah II
500.5.5.4;Informasi dan Evaluasi Spasial
500.5.5.5;Jejaring, Data, dan Informasi Konservasi
500.5.5.6;Konservasi Wawasan
500.5.5.7;Konservasi Jenis Ikan
500.5.5.8;Pemanfaatan Kawasan dan Jenis Ikan
500.5.5.9;Mitigasi Bencana Lingkungan
500.5.5.10;Pendayagunaan Sumber Daya Kelautan
500.5.5.11;Penanggulangan Pencemaran Sumber Daya Pesisir dan Laut
500.5.5.12;Rehabilitasi dan Reklamasi
500.5.5.13;Identifikasi Pulau-Pulau Terkecil
500.5.5.14;Pengelolaan Ekosistem Pulau-Pulau Terkecil
500.5.5.15;Investasi dan Promosi Pulau-Pulau Terkecil
500.5.5.16;Sarana dan Prasarana Pulau-Pulau Terkecil
500.5.5.17;Akses Permodalan
500.5.5.18;Akses Ilmu Pengetahuan dan Teknologi
500.5.5.19;Sosial Budaya Masyarakat
500.5.5.20;Pengembangan Usaha
500.5.6;Pengawasan Sumber Daya Kelautan Dan Perikanan
500.5.6.1;Pengawasan Penangkapan Wilayah Barat
500.5.6.2;Pengawasan Penangkapan Wilayah Timur
500.5.6.3;Pengawasan Pengangkutan, Pengolahan dan Pemasaran
500.5.6.4;Pengawasan Usaha Budidaya
500.5.6.5;Pengawasan Ekosistem Perairan dan Kawasan Konservasi
500.5.6.6;Pengawasan Pencemaran Perairan
500.5.6.7;Pengawasan Pesisir dan Pulau-Pulau Terkecil
500.5.6.8;Pengawasan Jasa Kelautan dan Sumber Daya Non Hayati
500.5.6.9;Logistik dan Operasional Wilayah Barat
500.5.6.10;Logistik dan Operasional Wilayah Timur
500.5.6.11;Perawatan Kapal Pengawas
500.5.6.12;Pengawakan Kapal Pengawas
500.5.6.13;Sistem Pemantauan
500.5.6.14;Pemantauan Pemanfaatan Sumber Daya Kelautan
500.5.6.15;Pemantauan Sumber Daya Perikanan
500.5.6.16;Pengembangan Infrastruktur Pengawasan
500.5.6.17;Penyidikan
500.5.6.18;Penanganan Barang Bukti dan Awak Kapal
500.5.6.19;Kerja Sama Penegakan Hukum dan Fasilitas PPNS Perikanan
500.5.6.20;Pemantauan dan Evaluasi Penanganan Pelanggaran
500.5.7;Karantina Ikan
500.5.7.1;Pemeriksaan Ikan 
500.5.7.2;Penahanan
500.5.7.3;Pengasingan
500.5.7.4;Pengamatan
500.5.7.5;Pengakuan
500.5.7.6;Penolakan
500.5.7.7;Pemusnahan
500.5.7.8;Persyaratan lalu Lintas Pemasukan
500.5.7.9;Persyaratan lalu Lintas Pengeluaran
500.5.7.10;Permohonan Sertifikat
500.5.7.11;Pemasukan Formulir
500.5.7.12;Pemasukan Sertifikat
500.5.7.13;Evaluasi dan Monitoring Sertifikat
500.5.7.14;Surat Perintah
500.5.7.15;Rekomendasi
500.5.7.16;Penutupan Suatu Area
500.5.7.17;Pelanggaran Lalu Lintas Ikan
500.5.7.18;Pengawasan Peraturan Perkarantinaan
500.5.7.19;Pengawasan Pelaksanaan Operasional
500.5.7.20;Instalasi Karantina Sementara
500.5.7.21;Lokasi Karantina
500.6;PERTANIAN
500.6.1;Kebijakan di bidang Pertanian yang dilakukan oleh Pemerintah Daerah 
500.6.2;Perlindungan hortikultura
500.6.2.1;Perlindungan Tanaman Buah
500.6.2.2;Perlindungan Tanaman Sayuran dan Tanaman Obat
500.6.2.3;Perlindungan Tanaman Florikultura
500.6.2.4;Dampak iklim dan Persyaratan Teknis
500.6.3;Perbenihan Hortikultura
500.6.3.1;Perbenihan Hortikultura
500.6.3.1;Penilaian Varietas
500.6.3.2;Pengawasan Mutu Benih
500.6.3.3;Budidaya dan Pascapanen Florikultura
500.6.4.1;Basis Data Lahan
500.6.4.2;Pengendalian Lahan
500.6.4.3;Optimasi, Rehabilitasi dan Konservasi Lahan
500.6.4.4;Perluasan Kawasan Tanaman Pangan
500.6.4.5;Perluasan Kawasan Hortikultura, Perkebunan dan Peternakan
500.6.5;Pengelolaan Air Irigasi
500.6.5.1;Pengembangan Sumber Air
500.6.5.2;Pengembangan Jaringan dan Optimasi Air
500.6.5.3;Iklim, Konservasi Air dan Lingkungan Hidup
500.6.5.4;Kelembagaan
500.6.6;Pembiayaan Pertanian
500.6.6.1;Pembiayaan Program
500.6.6.2;Pembiayaan Syariah dan Kerja Sama
500.6.6.3;Pembiayaan agribisnis
500.6.6.4;Kelembagaan dan Pemberdayaan agribisnis
500.6.7;Pupuk Pestisida
500.6.7.1;Pupuk Organik dan Pembenah Tanah
500.6.7.2;Pupuk Anorganik
500.6.7.3;Pestisida
500.6.7.4;Pengawasan Pupuk dan Pestisida
500.6.8;Alat dan Mesin Pertanian
500.6.8.1;Pengembangan Alat dan Mesin Pertanian
500.6.8.2;Pengawasan dan Peredaran Alat dan Mesin Pertanian
500.6.8.3;Kelembagaan dan Pelayanan Alat dan Mesin Pertanian
500.6.9;Perbenihan Tanaman Pangan
500.6.9.1;Penilaian Varietas dan Pengawasan Mutu Benih
500.6.9.2;Produksi Benih Serealia
500.6.9.3;Produksi Benih Aneka Kacang dan Umbi
500.6.9.4;Kelembagaan Benih
500.6.10;Budidaya Serealia
500.6.10.1;Padi Irigasi dan Rawa
500.6.10.2;Padi Tadah Hujan dan Lahan Kering
500.6.10.3;Jagung
500.6.10.4;Serealia Lain
500.6.11;Budidaya Aneka Kacang dan Umbi
500.6.11.1;Kedelai
500.6.11.2;Ubi Kayu
500.6.11.3;Aneka Kacang
500.6.11.4;Aneka Umbi
500.6.12;Tanaman Pangan
500.6.12.1;Pengeloalan Data Organisasi Pengganggu Tumbuhan
500.6.12.2;Dampak Perubahan Iklim
500.6.12.3;Teknoogi Pengendalian Organisme Pengganggu Tumbuhan
500.6.12.4;Pengelolaan Pengendalian Hama Tepadu
500.6.13;Pascapanen Tanaman Pangan
500.6.13.1;Padi
500.6.13.2;Jagung dan Serealia alin
500.6.13.3;Kedelai dan Aneka Kacang
500.6.13.4;Aneka Umbi
500.6.14;Pengolahan Hasil Pertanian
500.6.14.1;Tanaman Pangan
500.6.14.2;Holtikurtura
500.6.14.3;Perkebunan
500.6.14.4;Peternakan
500.6.15;Mutu dan Standariasi
500.6.15.1;Standardisasi
500.6.15.2;Penerapan dan Pengawasan Jaminan Mutu
500.6.15.3;Akreditasi dan Kelembagaan
500.6.15.4;Kerjasama dan Harmonisasi
500.6.16;Pengembangan Usaha dan Investasi
500.6.16.1;Kemitraan dan Kewirausahaan
500.6.16.2;Investasi
500.6.16.3;Promosi Dalam Negeri
500.6.16.4;Promosi Luar Negeri
500.6.17;Pemasaran Domestik
500.6.17.1;Informasi Pasar
500.6.17.2;Pemantauan Pasar dan Stabilisasi Harga 
500.6.17.3;Sarana dan Kelembagaan Pasar
500.6.17.4;Jaringan Pemasaran
500.6.18;Administrasi Penelitian, Pengkajian, dan Pengembangan, Antara lain : Rencana Kerja, TOR/ Proposal, Pembentukan Tim Kerja dan Surat menyurat
500.6.19;Hasil Penelitian, Pengkajian, dan Pengembangan
500.6.19.1;Hasil Penelitian dan Pengembangan 
500.6.19.2;Hasil Pengkajian dan Kebijakan dan Strategi
500.6.20;Diseminasi 
500.6.21;Publikasi Hasil Penelitian/ Pengkajian
500.6.21.1;Pameran, Temu Lapang, Temu Bisnis, Demlot, Seminar Lokakarya, Temu Karya, Workshop
500.6.21.2;Jurnal, Buletin, Monograf, Prosiding, dan Pubikasi lainnya
500.6.22;Bimbingan Teknis Penelitian, Pengkajian, dan Pengembangan   
500.6.23;Forum Komunikasi Penelitian dan Pengembangan
500.6.24;Data Penelitian dan Pengembangan
500.6.25;Evaluasi Penelitian/ Pengkajian dan Pengembangan
500.6.26;Hak Atas Kekayaan Intelektual (HAKI)
500.6.26.1;Hak Cipta
500.6.26.2;Hak Paten Sederhana
500.6.26.3;Hak Paten Biasa
500.6.26.4;Hak Merek
500.6.26.5;Pendaftaran Varietas Tanaman 
500.6.26.6;Permohonan Hak  PVTT  Tanaman Semusim dan Tahunan
500.6.26.7;Permohonan HKI yang ditolak
500.6.27;Pelayanan Perijinan Pertanian
500.6.27.1;Sarana I ( bidang pupuk, pestisida, alat dan mesin pertanian )
500.6.27.2;Sarana II ( bidang benih tanaman, bahan penelitian, teknis pangan segar asal tumbuhan, teknis pengalihan saham perkebunan )
500.6.27.3;Sarana III ( bidang bibit, karkas,daging, dan jeroan, pakan ternak, obat hewan, dan teknis sumber daya genetik ternak )
500.6.28;Pelayanan Hukum
500.6.28.1;Sertifikasi
500.6.28.2;Pertimbangan Hukum
500.6.29;Karantina Pertanian
500.6.29.1;Karantina Tumbuhan
500.6.29.2;Karantina Hewan
500.6.30;Bimbingan Teknis
500.6.31;Evaluasi
500.7.1;Kebijakan di bidang Peternakan yang dilakukan oleh Pemerintah Daerah
500.7.2;Peternakan dan Kesehatan Hewan
"500.7.2.1;Perbibitan Ternak, Antara lain: Produksi Bibit Ternak Ruminansia, Produksi Bibit Ternak Non Ruminansia, Penilaian dan Pelepasan Bibit ternak, Pengembangan Bibit Ternak, Surat Rekomendasi & Persetjuan Pemasukan/ Pengeluaran
"
500.7.2.2;Pakan Ternak
500.7.2.3;Budidaya Ternak
500.7.2.4;Kesehatan Hewan, Antara lain: Pengamatan Penyakit Hewan, Pencegahan dan Pemberantasan Penyakit Hewan, Perlindungan Hewan, Kelembagaan dan Sumber Daya Kesehatan Hewan, Pengawasan Obat Hewan
500.7.2.5;Kesehatan Masyarakat Veteriner dan Pascapanen, Antara lain: Pascapanen, Higien Sanitasi, Pengawasan Sanitary dan Keamanan Produk Hewan, Zoonosis dan Kesejahteraan Hewan, Pengujian dan Sertifikasi Produk Hewan, Surat Rekomendasi & Persetjuan Pemasukan/ Pengeluaran
500.7.3;Bimbingn Teknis
500.7.4;Evaluasi
500.8.1;Kebijakan di bidang Perkebunan yang dilakukan oleh Pemerintah Daerah 
500.8.2;Tanaman Semusim
500.8.2.1;Identifikasi dan Pendayagunaan Sumber Daya Tanaman Semusim
500.8.2.2;Perbenihan Tanaman Semusim
500.8.2.3;Budidaya Teknologi Budidaya Tanaman Semusim
500.8.2.4;Pemberdayaan Tanaman Semusim
500.8.3;Tanaman Rempah & Penyegar
500.8.3.1;Identifikasi dan Pendayaguunaan Sumber Daya Tanaman Rempah & Penyegar
500.8.3.2;Perbenihan Tanaman Rempah & Penyegar
500.8.3.3;Budidaya Tanaman Rempah & Penyegar
500.8.3.4;Pemberdayaan dan Kelembagaan Tanaman Rempah & Penyegar
500.8.4;Tanaman Tahunan
500.8.4.1;Identifikasi dan Pendayagunaan Sumber Daya, Tanaman Tahunan
500.8.4.2;Perbenihan Tanaman Tahunan
500.8.4.3;Budidaya Tanaman Tahunan
500.8.4.4;Pemberdayaan dan Kelembagaan Tanaman Tahunan
500.8.5;Perlindungan Perkebunan
500.8.5.1;Identifikasi dan Pengendalian Organisme Pengganggu Tumbuhan Tanaman Semusim, Perlindungan Perkebunan
500.8.5.2;Identifikasi dan Pengendalian Organisme Pengganggu Tumbuhan Tanaman Rempah dan Penyegar
500.8.5.3;Identifikasi dan Pengendalian Organisme Pengganggu Tumbuhan Tanaman Tahunan
500.8.5.4;Dampak Perubahan Iklim dan Pencegahan Kebakaran
500.8.6;Pascapanen dan Pembinaan Usaha
500.8.6.1;Pascapanen Tanaman Semusim, Rempah dan Penyegar
500.8.6.2;Pascapanen Tanaman Tahunan
500.8.6.3;Bimbingan Usaha dan Perkebunan Berkelanjutan
500.8.6.4;Gangguan Usaha dan Penanganan Konflik
500.8.7;Bimbingan Teknis Perkebunan
500.8.8;Evaluasi Perkebunan
500.9;PERINDUSTRIAN
500.9.1;Kebijakan di bidang Perindustrian yang dilakukan oleh Pemerintah Daerah
500.9.2;Iklim Usaha dan Kerja Sama
500.9.2.1;Industri Manufaktur
500.9.2.2;Industri Agro
500.9.2.3;Industri Unggulan Berbasis Teknologi Tinggi
500.9.2.4;Industri Kecil dan Menengah
500.9.3;Promosi Industri
500.9.3.1;Industri Manufaktur
500.9.3.2;Promosi Industri Agro
500.9.3.3;Industri Unggulan Berbasis Teknologi Tinggi
500.9.3.4;Industri Kecil dan Menengah
500.9.4;Standarisasi dan Teknologi 
500.9.4.1;Industri Manufaktur
500.9.4.2;Industri Agro
500.9.4.3;Industri Unggulan Berbasis Teknologi Tinggi
500.9.4.4;Industri Kecil dan Menengah
500.9.5;Hak dan Kekayaan Intelektual
500.9.5.1;Industri Manufaktur
500.9.5.2;Industri Agro
500.9.5.3;Industri Unggulan Berbasis Teknologi Tinggi
500.9.5.4;Industri Kecil dan Menengah
500.9.6;Industri Hijau
500.9.6.1;Industri Manufaktur
500.9.6.2;Industri Agro
500.9.6.3;Industri Unggulan Berbasis Teknologi Tinggi
500.9.6.4;Industri Kecil dan Menengah
500.9.7;Analisis Kerja Sama Industri Unggulan Kabupaten/Kota
500.9.8;Monitoring dan Evaluasi Kompetensi Inti Industri (Provinsi dan Kabupaten/Kota)
500.9.9;Pengembangan Infrastruktur Pendukung Pengembangan Kawasan Industri
500.9.10;Fasilitasi Pengembangan Kawasan Industri
500.9.11;Kerja Sama Ketahanan Industri Internasional 
500.9.12;Standarisasi
500.9.12.1;Standar
500.9.12.2;Penyiapan Penerapan
500.9.12.3;Infrastruktur Standar
500.9.13;Pengkajian Kebijakan dan Iklim Usaha Industri
500.9.13.1;Kebijakan Industri
500.9.13.2;Perpajakan dan Tarif
500.9.13.3;Pengembangan Model Industrial
500.9.14;Pengkajian Industri Hijau dan Lingkungan Hidup
500.9.14.1;Industri Hijau
500.9.14.2;Lingkungan Hidup
500.9.14.3;Energi
500.9.15;Teknologi dan Hak Kekayaan Intelektual
500.9.15.1;Pengkajian dan Penerapan Kebijakan Teknologi Industri
500.9.15.2;Pengkajian dan Penerapan Inovasi Teknologi Industri
500.9.15.3;Pengembangan Hak Kekayaan Intelektual
500.9.16;Monitoring dan Evaluasi Kompetensi Industri
500.10;ENERGI DAN SUMBER DAYA MINERAL
500.10.1;Kebijakan di bidang Energi dan Sumber Daya Mineral yang dilakukan oleh Pemerintah Daerah                 
500.10.2;Rekomendasi Kegeologian
500.10.2.1;Mitigasi Gunung Api, Gempa Bumi, Tsunami, dan Gerakan Tanah
500.10.2.2;Air Tanah dan Geologi Tata Lingkungan
500.10.2.3;Pertambangan
500.10.2.4;Panas Bumi
500.10.2.5;Geosains
500.10.2.6;Pengukuran Time Domain Electromagnetic (TDEM)
500.10.2.7;Kelayakan Lingkungan
500.10.3;Penelitian Kegeologian
500.10.3.1;Administrasi pelaksanaan penelitian
500.10.3.2;Administrasi tenaga penelitian
500.10.3.3;Administrasi penggunaan peralatan penelitian
500.10.3.4;Log-book peralatan survei/peralatan uji/kalibrasi
500.10.3.5;Hasil  penelitian dan penyelidikan kegeologian
500.10.3.6;Sumber Daya Geologi
500.10.3.7;Air Tanah dan Geologi Tata Lingkungan
500.10.3.8;Vulkanologi dan Mitigasi Bencana Geologi
500.10.3.9;Survei Geologi
500.10.4;Inventarisasi dan evaluasi kegeologian
500.10.4.1;Sumber Daya Geologi
500.10.4.2;Vulkanologi dan Mitigasi Bencana Geologi
500.10.4.3;Air Tanah dan Geologi Tata Lingkungan
500.10.4.4;Survei Geologi
500.10.4.5;Konservasi
500.10.5;Administrasi Pelayanan Kegeologian dan Penyajian Data dan Informasi
500.10.5.1;Peta potensi dan sebaran
500.10.5.2;Air Tanah dan Geologi Tata Lingkungan
500.10.5.3;Mitigasi Bencana Gunungapi, Gerakan Tanah, Gempa Bumi dan Tsunami, Semburan Lumpur/Gas serta kebakaran Batubara
500.10.5.4;Survei Geologi
500.10.6;Pembinaan Program Minyak dan Gas Bumi
500.10.6.1;Rencana Induk Jaringan Gas Bumi 
500.10.6.2;Rencana dan Realisasi Investasi 
500.10.6.3;Penetapan Harga Minyak Mentah
500.10.6.4;Penetapan Bagii Hasil Penerimaan Negara Bukan Pajak (PNBP) Minyak dan Gas Bumi
500.10.6.5;Pelaksanaan Pemeriksaan dan Pengujian PNBP
500.10.6.6;Verifikasi Tingkat Komponen Dalam Negeri (TKDN)
500.10.6.7;Rekomendasi Kemampuan Produksi Barang dan Jasa Dalam Negeri
500.10.6.8;Rencana Kebutuhan Impor Barang (RKIB) dan Rencana Impor Barang (RIB)
500.10.7;Pembinaan Usaha Hulu Minyak dan Gas Bumi
500.10.7.1;Penyiapan dan Penawaran Wilayah Kerja (WK) Minyak dan Gas Bumi (Konvensional dan Non Konvensional)
500.10.7.2;Eksplorasi Minyak dan Gas Bumi (antara lain: Pemanfaatan Data Migas untuk presentasi makalah, publikasi makalah, pembukaan data, Izin Pengiriman Data ke Luar Negeri, Izin Pengiriman Data ke Luar Negeri, Unitisasi Lapangan Minyak dan Gas Bumi, Rekomendasi Pengalihan Interest, Rekomendasi Penyisihan Wilayah Kerja Minyak dan Gas Bumi, Penyiapan Dokumen Pengakhiran Kontrak, Laporan Data Survei Seismik, Laporan Data Pemboran Sumur Eksplorasi per semester, Laporan Data Pemboran Sumur Eksplorasi Tahunan)
500.10.7.3;Eksploitasi Minyak dan Gas Bumi (antara lain: Rekomendasi Penggunaan Data Eksploitasi (publikasi makalah, analisa laboratorium, Reprocessing), Penetapan Pengusahaan Minyak Bumi dari Sumur Tua, Penetapan Pengusahaan Lapangan Produksi yang Dikembalikan Kepada Pemerintah, Buku Cadangan Minyak dan Gas Bumi, Data Cadangan Strategis/Penyangga Minyak dan Gas Bumi, Laporan Hasil Pemantauan Data Produksi Minyak dan Gas Bumi, Laporan Hasil Inventarisasi Mutu Minyak dan Gas Bumi)
500.10.7.4;Pengembangan lapangan Minyak dan Gas Bumi (POD)
500.10.7.5;Perpanjangan Kontrak KKS
500.10.7.6;Penetapan Alokasi dan Harga Gas
500.10.7.7;Partisipasi Interest
500.10.7.8;Tumpang Tindih Lahan
500.10.8.1;Perumusan pedoman, prosedur, layanan serta pengawasan Usaha Pengolahan, Pengangkutan, Penyimpanan, dan Niaga Minyak Bumi dan Gas Bumi, Hasil Olahan dan Bahan Bakar Lain, Antara lain: Pedoman dan Prosedur, Layanan Usaha (Izin/rekomendasi/penandasahan), Pengawasan
500.10.8.2;Fasilitasi dan pertimbangan pelanggaran
500.10.8.3;Penetapan Harga dan Subsidi Bahan Bakar yang ditetapkan dengan Keputusan Menteri
500.10.9.1;Perumusan pelaksanaan dan pengawasan Standar Nasional Indonesia (SNI) / Standar Kompetensi Kerja Nasional Indonesia (SKKNI) 
500.10.9.2;Registrasi Nomor Pelumas Terdaftar (NPT), Antara lain: Berkas permohonan, Berita Acara Hasil Evaluasi, Salinan Sertifikat NPT, Register NPT
500.10.9.3;Buku Register Welding Procedure Specification (WPS)/ Procedure Qualification Record (PQR) 
500.10.9.4;Register dan Sertifikat Kualifikasi Juru Las
500.10.9.5;Keselamatan Hulu Minyak dan Gas Bumi, Antara lain: Pemeriksaan Teknis dan Pengujian Instalasi dan Peralatan, Pemeriksaan Kalibrasi Teknis,  Pengawasan Keselamatan Operasi
500.10.9.6;Keselamatan Hilir Minyak dan Gas Bumi, Antara lain: Pemeriksaan Teknis dan Pengujian Instalasi dan Peralatan, Pemeriksaan Kalibrasi Teknis, Pengawasan Keselamatan Operasi
500.10.9.7;Keselamatan Kerja dan Lindungan Lingkungan
500.10.9.8;Dokumen Persetujuan Penunjukkan Kepala/Wakil Kepala Teknik Tambang Hulu dan Hilir, Antara lain: Dokumen Permohonan Pengajuan persetujuan penunjukkan Calon kepala/wakil kepala teknik tambang minyak dan gas bumi, Surat Undangan Presentasi, Makalah Presentasi, Surat Persetujuan/ Pengesahan penunjukan kepala/wakil Kepala Teknik Tambang Minyak dan Gas Bumi
500.10.9.9;Penghargaan Keselamatan Kerja, Antara lain: Surat Permohonan Mendapatkan Penghargaan, Surat Penugasan Dalam Rangka Verifikasi,  Berkas Hasil Evaluasi Verifikasi, Salinan Tanda Penghargaan, Dokumen Pengajuan dan penilaian Tanda Penghargaan Keselamatan Minyak dan Gas Bumi
500.10.9.10;Usaha penunjang
500.10.10;Infrastruktur Minyak dan Gas Bumi
500.10.10.1;Perencanaan Program Kerja Pembangunan Infrastruktur Minyak dan Gas Bumi
500.10.10.2;Pengadaan Pembangunan Infrastruktur Minyak dan Gas Bumi
500.10.10.3;Pelaksanaan  Pembangunan Infrastruktur Minyak dan Gas Bumi
500.10.10.4;Pengawasan dan Evaluasi Pembangunan Infrastuktur Minyak dan Gas Bumi
500.10.11;Penyiapan Program Energi Terbarukan dan Konservasi Energi
500.10.11.1;Usulan Wilayah Kerja Panas Bumi 
500.10.11.2;Usul Program Aneka Energi Pemerintah Daerah dan Lembaga
500.10.11.3;Penyiapan Program Pemanfaatan Energi
500.10.11.4;Proyeksi Kebutuhan Energi dari EBT
500.10.11.5;Perencanaan Pemanfaatan Energi dari EBT
500.10.11.6;Penyusunan Neraca Energi
500.10.11.7;Road Map di Bidang EBT
500.10.12;Panas Bumi
500.10.12.1;Penerbitan Surat Keterangan Terdaftar (SKT) 
500.10.12.2;Sertifikasi Kelayakan Penggunaan Instalasi (SKPI)
500.10.12.3;Sertifikasi Kelayakan Penggunaan Peralatan
500.10.12.4;Rekomendasi Bahan Peledak 
500.10.12.5;Perizinan penggunaan gudang bahan peledak 
500.10.12.6;Izin Tangki Bahan Bakar Cair
500.10.12.7;Persetujuan sertifikasi Welding Prosedure Specifikation (WPS) dan Prosedure Qualification Record (PQR) dan kualifikasi Juru LasQualification Record (PQR) dan kualifikasi Juru Las
500.10.12.8;Penerbitasn Izin Usaha Panas Bumi (IUP)
500.10.12.9;Penerbitan Izin Panas Bumi (IPB)
500.10.12.10;Penerbitan Izin Pemanfaatan Langsung (IPL)
500.10.12.11;Penetapan kapasitas usaha panas bumi 
500.10.12.12;Penetapan kapasitas Pembangkit Listrik Tenaga Panas Bumi (PLTP) 
500.10.12.13;Pengawasan Eksplorasi dan Eksploitasi Panas Bumi
500.10.12.14;Pelaksanaan Kerja Sama Panas Bumi
500.10.12.15;Inventarisasi, Verifikasi dan Evaluasi Obvitnas Bidang Panas Bumi 
500.10.12.16;Monitoring Pelaksanaan Program Pengembangan dan Pemberdayaan Masyarakat (PPM) pada Kegiatan Pengusahaan Panas Bumi
500.10.12.17;Pembinaan dan Pengawasan Investasi Panas Bumi
500.10.13;Bioenergi
500.10.13.1;Penerbitan Izin Usaha Niaga Bahan Bakar Nabati (BNN)
500.10.13.2;Pengadaan Bahan Bakar Nabati (BBN)
500.10.13.3;Penerbitan Rekomendasi Ekspor - Impor
500.10.13.4;Penetapan Indeks Harga Pasar BBN (HIP BBN)
500.10.13.5;Evaluasi/Revisi HIP BBN
500.10.13.6;Database Pengusahaan Bioenergi
500.10.13.7;Penetapan Badan Usaha sebagai Pengelola Energi Biomassa atau Biogas untuk Pembangkit Listrik
500.10.13.8;Penetapan Spesifikasi Bahan Bakar Nabati
500.10.13.9;Usul Program Bioenergi Pemerintah Daerah dan Lembaga
500.10.14;Aneka Energi
500.10.14.1;Penerbitan Izin Usaha Aneka Energi
500.10.14.2;Penetapan Kapasitas Usaha
500.10.14.3;Rekomendasi Kompetensi dan Rencana Penggunaan Tenaga Kerja Asing
500.10.14.4;Rekomendasi Persetujuan Perubahan Pemegang Saham
500.10.14.5;Persetujuan Rencana Impor Barang (RIB)
500.10.15;Konservasi Energi
500.10.15.1;Audit Energi melalui program kemitraan Konservasi Energi
500.10.15.2;Monitoring Implementasi hasil audit energi melalui program kemitraan konservasi energi
500.10.15.3;Pembinaan dan pengawasan pelaksanaan manajamen energi di pengguna energi di atas 6.000 TOE
500.10.15.4;Pengawasan sertifikasi label dan tanda hemat energi pada lampu swabalast
500.10.15.5;Penyusunan daftar peralatan/teknologi efisiensi
500.10.15.6;Penyusunan emisi energi gas rumah kaca 
500.10.15.7;Pemberian insentif dan disinsentif konservasi energi
500.10.15.8;Profil investasi efisiensi energi
500.10.15.9;Invesment Grade Audit (IGA)
500.10.15.10;Bimbingan Teknis Bidang EBTKE
500.10.16;Perencanaan dan Pembangunan Infrastruktur EBTKE
500.10.16.1;Usul Pembangunan Infrastruktur Pemerintah Daerah dan Lembaga
500.10.16.2;Perencanaan  Pembangunan Infrastruktur Minyak dan Gas Bumi
500.10.16.3;Pelaksanaan Pembangunan Infrastruktur Bidang EBTKE
500.10.16.4;Evaluasi Program Kerja
500.10.17;Bina Program Tenaga Listrik
500.10.17.1;Investasi dan pendanaan tenaga listrik, Antara lain: Dokumen grant/hibah/loan agreement luar negeri, Monitoring loan pembangunan infrastruktur penyediaan tenaga listrik, Laporan penanganan permasalahan infrastruktur  penyediaan tenaga listrik,  Laporan kegiatan investasi dan pendanaan tenaga listrik
500.10.17.2;Pengembangan listrik pedesaan, Antara lain: Data program listrik perdesaan, Data rasio elektrifikasi (RE) dan Rasio Desa Berlistrik (RD),  Monitoring dan evaluasi listrik perdesaan, Listrik  untuk masyarakat tidak mampu
500.10.17.3;Data dan Informasi Ketenagalistrikan
500.10.18;Bina Usaha Ketenagalistikan
500.10.18.1;Penyiapan Usaha Ketenagalistrikan, Antara lain: Pelayanan izin usaha penyediaan tenaga listrik (IO,  IUPL-S, dan IUPL), Bimbingan Usaha Ketenagalistrikan, Data laporan berkala pemegang Izin
500.10.18.2;Harga dan Subsidi Listrik
500.10.18.3;Hubungan komersial tenaga listrik
500.10.18.4;Perlindungan konsumen listrik, Antara lain: Penanganan pengaduan konsumen listrik, Dokumen Pengawasan tingkat mutu pelayanan tenaga listrik, Dokumen Evaluasi realisasi tingkat mutu pelayanan tenaga listrik, Dokumen evaluasi pemberian kompensasi pinalti tingkat mutu pelayanan PT PLN (Persero)
500.10.19;Teknik dan Lingkungan Ketenagalistrikan
500.10.19.1;Kelaikan teknik dan keselamatan ketenagalistrikan
500.10.19.2;Penyiapan kompetensi dan pengawasan tenaga teknik ketenagalistrikan
500.10.19.3;Usaha penunjang ketenagalistrikan, Antara lain: Dokumen Izin Usaha Jasa Penunjang Tenaga Listrik (IUJPTL), Dokumen Izin Pemanfaatan Jaringan Tenaga Listrik untuk Kepentingan Telematika (IPJ Telematika), Dokumen Penandasahan Rencana Impor Barang (RIB)
500.10.19.4;Perlindungan lingkungan ketenagalistrikan, Antara lain: Dokumen forum keselamatan instalasi pemanfaatan tenaga  listrik, Dokumen pelaksanaan pengelolaan lingkungan hidup sektor ketenagalistrikan, Laporan pembinaan dan pengawasan lingkungan,  Dokumen perhitungan faktor emisi Clean Development Mechansim (CDM)
500.10.20;Sertifikasi
500.10.20.1;Dokumen Sertifikasi Produk peralatan dan pemanfaatan tenaga listrik
500.10.20.2;Dokumen Penunjukan Lembaga Sertifikasi Kompetensi (LSK)
